product_id,product_name,product_company,product_flavour,category,product_size,product_price,product_rate,one_star,two_star,three_star,four_star,five_star,reviews_number,product_quality
88411,"Matcha Road, Matcha + Collagen, Grass-Fed Collagen Peptides, 7.9 oz (224 g)",Matcha Road," Matcha + Collagen, Grass-Fed Collagen Peptides,",Tea,224 g,39.21,4.5,4,2,2,7,56,71,excellent
96659,"California Gold Nutrition, Superfoods, Matcha Green Tea Powder, 4 oz (114 g)",California Gold Nutrition," Superfoods, Matcha Green Tea Powder,",Tea,114 g,26.96,3.8,5,1,4,10,14,34,good
96973,"Matcha Road, Matcha + Vitamin C, Trial Pack (Citrus Ginger, Dragon Fruit, Original), 3 Packets, 0.18 oz (5 g) Each",Matcha Road," Matcha + Vitamin C, Trial Pack (Citrus Ginger, Dragon Fruit, Original), 3 Packets,",Tea,5 g,8.99,2.9,8,3,1,3,7,22,good
41988,"Yogi Tea, Organic, Honey Lavender Stress Relief, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea," Organic, Honey Lavender Stress Relief, Caffeine Free, 16 Tea Bags,",Tea,29 g,6.5,4.5,33,39,78,175,731,1056,excellent
69658,"MRM, Matcha Green Tea Powder, 6 oz (170 g)",MRM," Matcha Green Tea Powder,",Tea,170 g,24.49,4.4,60,31,65,108,632,897,excellent
41989,"Yogi Tea, Positive Energy, Sweet Tangerine, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea," Positive Energy, Sweet Tangerine, 16 Tea Bags,",Tea,29 g,6.5,4.5,28,25,80,146,731,1010,excellent
5500,"Yogi Tea, Organic, Bedtime, Caffeine Free, 16 Tea Bags, .85 oz (24 g)",Yogi Tea," Organic, Bedtime, Caffeine Free, 16 Tea Bags,",Tea,24 g,6.5,4.0,73,61,119,204,492,949,excellent
30664,"Yogi Tea, Skin DeTox, Soothing Rose Hibiscus, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea," Skin DeTox, Soothing Rose Hibiscus, 16 Tea Bags,",Tea,32 g,6.5,4.1,107,95,293,501,1066,2062,excellent
5494,"Yogi Tea, Organic, Green Tea Kombucha, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea," Organic, Green Tea Kombucha, 16 Tea Bags,",Tea,32 g,6.5,4.6,26,14,56,106,762,964,excellent
6871,"Traditional Medicinals, Herbal Teas, Organic Roasted Dandelion Root, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz (24 g)",Traditional Medicinals," Herbal Teas, Organic Roasted Dandelion Root, Naturally Caffeine Free, 16 Wrapped Tea Bags,",Tea,24 g,7.86,4.4,14,29,39,116,354,552,excellent
30795,"Frontier Natural Products, Whole Elder Berries, 16 oz (453 g)",Frontier Natural Products," Whole Elder Berries,",Tea,453 g,27.97,4.7,3,0,5,5,82,95,excellent
5501,"Yogi Tea, Lemon Ginger, Caffeine Free, 16 Tea Bags, 1.27 oz (36 g)",Yogi Tea," Lemon Ginger, Caffeine Free, 16 Tea Bags,",Tea,36 g,6.5,4.0,58,46,86,187,378,755,excellent
5491,"Yogi Tea, Echinacea Immune Support, Caffeine Free, 16 Tea Bags, .85 oz (24 g)",Yogi Tea," Echinacea Immune Support, Caffeine Free, 16 Tea Bags,",Tea,24 g,6.5,4.5,8,8,23,54,204,297,excellent
6800,"Traditional Medicinals, Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 16 Wrapped Tea Bags, .99 oz (28 g)",Traditional Medicinals," Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 16 Wrapped Tea Bags,",Tea,28 g,7.86,4.2,47,33,96,145,443,765,excellent
82075,"Traditional Medicinals, Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 32 Wrapped Tea Bags, 1.98 oz (56 g)",Traditional Medicinals," Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 32 Wrapped Tea Bags,",Tea,56 g,17.22,4.2,47,33,96,145,443,765,excellent
41694,"Traditional Medicinals, Herbal Teas, Organic Chamomile with Lavender, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz (24 g)",Traditional Medicinals," Herbal Teas, Organic Chamomile with Lavender, Naturally Caffeine Free, 16 Wrapped Tea Bags,",Tea,24 g,7.84,4.4,8,3,14,42,124,191,excellent
92291,"Hana Beverages, Matcha Latte, Non-Coffee Superfood Beverage, 16 oz (454 g)",Hana Beverages," Matcha Latte, Non-Coffee Superfood Beverage,",Tea,454 g,30.55,3.4,35,19,26,17,72,166,good
92295,"Hana Beverages, Matcha Latte, Non-Coffee Superfood Beverage, 3.3 oz (93.6 g)",Hana Beverages," Matcha Latte, Non-Coffee Superfood Beverage,",Tea,93,12.58,3.4,35,19,26,17,72,166,good
5513,"Yogi Tea, Organic, Chai Rooibos, Caffeine Free, 16 Tea Bags, 1.27 oz (36 g)",Yogi Tea," Organic, Chai Rooibos, Caffeine Free, 16 Tea Bags,",Tea,36 g,6.5,4.5,5,15,49,114,338,521,excellent
16319,"Uncle Lee's Tea, Legends of China, Dieter's 100% Natural Herbal Drink, No Caffeine, 30 Tea Bags, 2.42 oz (69.g)",Uncle Lee's Tea," Legends of China, Dieter's 100% Natural Herbal Drink, No Caffeine, 30 Tea Bags,",Tea,69,6.5,3.9,42,25,41,77,189,374,good
5481,"Yogi Tea, Detox, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea," Detox, Caffeine Free, 16 Tea Bags,",Tea,29 g,6.5,4.0,97,111,254,344,724,1530,excellent
39947,"Now Foods, Real Tea, Pau D'Arco, Caffeine-Free, 24 Tea Bags, 1.7 oz (48 g)",Now Foods," Real Tea, Pau D'Arco, Caffeine-Free, 24 Tea Bags,",Tea,48 g,7.42,4.7,6,2,6,19,178,211,excellent
41678,"Organic India, Tulsi Tea, Sleep, Caffeine Free, 18 Infusion Bags, 1.14 oz (32.4 g)",Organic India," Tulsi Tea, Sleep, Caffeine Free, 18 Infusion Bags,",Tea,32,8.43,4.5,4,12,29,50,228,323,excellent
6734,"Traditional Medicinals, Herbal Teas, Organic Peppermint, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz. (24 g)",Traditional Medicinals," Herbal Teas, Organic Peppermint, Naturally Caffeine Free, 16 Wrapped Tea Bags,",Tea,24 g,7.84,4.6,10,3,22,53,292,380,excellent
26708,"Stash Tea, Herbal Tea, Lemon Ginger, Caffeine Free, 20 Tea Bags, 1.1 oz (34 g)",Stash Tea," Herbal Tea, Lemon Ginger, Caffeine Free, 20 Tea Bags,",Tea,34 g,5.2,4.4,13,14,36,74,264,401,excellent
73326,"Yogi Tea, Organic Mango Ginger, Caffeine Free, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea," Organic Mango Ginger, Caffeine Free, 16 Tea Bags,",Tea,32 g,6.5,4.3,13,14,23,42,165,257,excellent
